Area (Gathered) Production Summary,,,,,,Area:,Redwater Central,
Well,Date,Hours On,"Gas
(E3m³)","Oil / Cond.
(m³)","Water
(m³)","Avg. Gas
(E3m³)","Avg. Oil / Cond.
(m³)","Avg. Water
(m³)"
103/09-33-056-21W4/00,11/31/2016,744,20.01,91.98,19.14,0.65,2.97,0.62
103/10-27-056-21W4/00,11/31/2016,744,11.78,24.03,3.08,0.38,0.78,0.1
103/10-33-056-21W4/00,11/31/2016,744,20.08,89.88,14.59,0.65,2.9,0.47
103/11-27-056-21W4/00,11/31/2016,744,6.19,22.29,2.69,0.2,0.72,0.09
103/12-34-056-21W4/00,11/31/2016,744,6.96,28.43,3.33,0.22,0.92,0.11
103/13-04-057-21W4/00,11/31/2016,744,10.85,70.2,13.13,0.35,2.26,0.42
103/13-22-056-21W4/00,11/31/2016,744,6.37,40.56,9.84,0.21,1.31,0.32
103/13-34-056-21W4/00,11/31/2016,744,8.68,53.97,12.99,0.28,1.74,0.42
103/14-04-057-21W4/00,11/31/2016,744,11.47,44.32,8.38,0.37,1.43,0.27
103/15-34-056-21W4/00,11/31/2016,744,4.34,12.64,1.2,0.14,0.41,0.04
103/16-15-056-21W4/00,11/31/2016,744,8.91,34.19,9.56,0.29,1.1,0.31
103/16-34-056-21W4/00,11/31/2016,0,0,0,0,0,0,0
104/06-27-056-21W4/00,11/31/2016,0,0,0,0,0,0,0
104/09-22-056-21W4/00,11/31/2016,744,7.13,49.73,6.86,0.23,1.6,0.22
104/14-04-057-21W4/00,11/31/2016,744,10.72,77.18,12.45,0.35,2.49,0.4
